t,missing,delta_l1,delta_l1_wrist,delta_angles,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
330,0,0.033175,0.038873,0.155492,0.530763,0.500039,-0.000347,0.517570,0.523755,-0.000436,0.491003,0.524502,0.000055,0.475939,0.501992,0.000085,0.488707,0.472698,0.000590,0.518495,0.466829,0.000119,0.540756,0.485522,-0.000505,0.535899,0.513415,-0.000036,0.512150,0.521522,-0.000681,0.490873,0.502649,-0.000561,0.494928,0.473366,0.000790,0.521522,0.459423,0.000170,0.549781,0.471464,0.000036,0.553144,0.499513,0.000576,0.532886,0.515407,0.000194,0.507385,0.504893,0.000716,0.502803,0.474901,0.000257,0.525196,0.453636,-0.000680,0.555014,0.459391,0.000150,0.567327,0.485067,0.000331,0.552567,0.507315,0.000300
363,0,0.038596,0.041558,0.166230,0.530678,0.500461,0.000200,0.518467,0.524938,-0.000120,0.491587,0.525515,0.000653,0.476823,0.500548,-0.000535,0.488083,0.473694,0.000111,0.518172,0.465631,0.000302,0.541125,0.486326,0.000001,0.536607,0.512038,-0.000736,0.511526,0.521396,-0.000399,0.490012,0.504103,0.000538,0.494948,0.474401,0.000799,0.522408,0.458632,-0.000736,0.549726,0.471856,0.000242,0.553889,0.499095,0.000137,0.532318,0.515705,-0.000654,0.506966,0.504242,0.000272,0.503843,0.475091,0.000310,0.525406,0.454870,0.000502,0.555890,0.459398,-0.000297,0.567378,0.486249,-0.000153,0.552266,0.508169,0.000252
396,0,0.163654,0.209636,0.838543,0.535256,0.499479,-0.001875,0.520081,0.529990,0.000752,0.490995,0.528047,0.000295,0.473916,0.501568,0.001190,0.482851,0.472351,0.000653,0.518364,0.459388,0.000305,0.545919,0.481780,0.002954,0.542864,0.515763,-0.002295,0.512900,0.526618,0.001300,0.486164,0.504065,0.002008,0.493514,0.469422,0.000308,0.521456,0.456532,0.000049,0.555811,0.471404,-0.001343,0.559501,0.501196,0.002605,0.532832,0.522595,-0.001303,0.502202,0.508282,0.002993,0.498420,0.471815,0.000231,0.523440,0.449663,0.000261,0.558843,0.454646,-0.001868,0.573790,0.486676,-0.001599,0.555936,0.509215,0.001468
429,0,0.172701,0.237976,0.951904,0.541231,0.501868,-0.000684,0.524594,0.534583,0.002885,0.487326,0.531594,0.000014,0.466941,0.504863,0.002245,0.481496,0.465884,-0.000258,0.522681,0.456103,0.000929,0.548333,0.482640,0.002815,0.543187,0.520436,0.000899,0.512291,0.533688,0.002156,0.480835,0.506385,0.001312,0.487994,0.470473,-0.002785,0.519588,0.449787,0.002526,0.560739,0.468018,-0.000396,0.559889,0.504609,0.002235,0.533132,0.526788,0.002421,0.496888,0.512788,-0.001240,0.492943,0.470357,0.000187,0.523389,0.446299,-0.001980,0.559886,0.454186,0.000718,0.575993,0.489472,-0.002141,0.556090,0.515042,-0.001468
462,0,0.190642,0.221267,0.885067,0.542056,0.501828,0.002407,0.527379,0.534814,-0.000350,0.484347,0.539444,0.000834,0.460996,0.501851,0.002072,0.476781,0.461252,-0.000101,0.521188,0.452280,0.000449,0.558164,0.480198,0.002868,0.548875,0.521211,0.000396,0.510567,0.537989,-0.002706,0.477638,0.509526,0.002425,0.480959,0.467312,0.000642,0.521313,0.444820,0.000725,0.563040,0.465180,0.000955,0.568865,0.506677,0.002420,0.535031,0.529431,-0.000355,0.496291,0.515657,-0.002459,0.487676,0.472529,-0.001946,0.519411,0.439974,0.002829,0.565899,0.450686,0.001983,0.581034,0.489693,-0.000109,0.560203,0.522562,-0.000968
495,0,0.193987,0.270948,1.083790,0.547691,0.502777,-0.002155,0.531814,0.543234,0.001345,0.486072,0.546268,0.001828,0.455695,0.505800,-0.002916,0.475537,0.457889,0.001037,0.525217,0.447561,0.001935,0.562650,0.477679,-0.001597,0.548845,0.528155,0.000368,0.511217,0.539796,-0.002621,0.474387,0.514062,-0.001187,0.477496,0.460638,0.002678,0.521047,0.438956,-0.002417,0.568516,0.458985,-0.000278,0.572395,0.509467,0.002676,0.534352,0.536984,-0.002073,0.491505,0.515109,-0.000064,0.483566,0.472314,-0.002804,0.519465,0.434590,0.002703,0.571149,0.442047,0.001114,0.587702,0.491361,-0.000848,0.559793,0.523786,-0.002267
528,0,0.194398,0.364911,1.459646,0.557088,0.499728,0.000977,0.532567,0.545864,-0.002872,0.482833,0.546473,-0.002244,0.451938,0.502173,0.001591,0.470293,0.452672,0.002218,0.524573,0.440144,0.002403,0.561826,0.480783,-0.002132,0.553245,0.527638,-0.001953,0.508964,0.543569,-0.002911,0.469628,0.512094,-0.001057,0.471897,0.457393,0.001450,0.522400,0.435475,-0.000143,0.572080,0.458568,-0.002346,0.575933,0.512782,-0.002740,0.537220,0.542685,0.000129,0.487965,0.523550,-0.002635,0.479203,0.467575,0.001117,0.518808,0.432581,-0.002559,0.569802,0.441345,-0.002606,0.591029,0.490042,0.000290,0.561396,0.533180,0.000183
561,0,0.182969,0.221938,0.887752,0.559722,0.500633,-0.002405,0.535629,0.551605,0.000905,0.480645,0.553883,-0.001710,0.446310,0.503838,-0.000966,0.468502,0.450088,-0.002429,0.526580,0.438455,-0.000754,0.567526,0.479773,-0.002597,0.561225,0.529979,-0.002421,0.508703,0.553232,0.000338,0.463851,0.516097,-0.001022,0.467389,0.456480,0.000992,0.523767,0.431209,0.001326,0.577442,0.456408,-0.000890,0.580914,0.510486,0.000940,0.534550,0.543086,0.002072,0.483624,0.525593,0.000445,0.476384,0.468797,0.002847,0.519401,0.425998,0.000856,0.572777,0.439515,0.001977,0.595927,0.488075,0.001216,0.563339,0.533816,-0.002963
594,0,0.094224,0.111769,0.447075,0.560592,0.500106,-0.000159,0.533845,0.549701,-0.000751,0.479425,0.552102,-0.000128,0.446346,0.505259,0.000355,0.469224,0.450700,-0.000664,0.526304,0.436916,0.000189,0.569889,0.476870,0.000259,0.559211,0.532326,-0.000363,0.507678,0.550744,-0.000112,0.462985,0.516013,-0.000021,0.469923,0.456631,-0.000168,0.522424,0.428213,-0.000318,0.574169,0.455225,-0.000391,0.580172,0.511422,0.000395,0.535685,0.545245,0.000326,0.484419,0.524551,0.000490,0.473856,0.467305,-0.000732,0.516720,0.425990,0.000579,0.575740,0.437058,0.000335,0.597191,0.489377,-0.000767,0.564205,0.535259,0.000189
627,0,0.035989,0.039917,0.159668,0.560531,0.500672,-0.000659,0.534969,0.549078,0.000142,0.479070,0.552391,-0.000304,0.446344,0.505200,-0.000531,0.468798,0.449974,0.000016,0.527669,0.437224,0.000364,0.570121,0.477739,-0.000422,0.558668,0.531935,0.000164,0.507686,0.551610,-0.000517,0.463769,0.515718,0.000407,0.470072,0.457277,0.000679,0.522369,0.429217,0.000199,0.575214,0.456009,-0.000558,0.579756,0.512118,-0.000315,0.535844,0.544726,0.000012,0.484115,0.523940,-0.000709,0.475071,0.466049,0.000583,0.518059,0.425500,0.000011,0.575559,0.437028,0.000467,0.597956,0.489912,0.000496,0.564728,0.534491,-0.000039
660,0,0.027929,0.058817,0.235267,0.559441,0.499299,-0.000634,0.535057,0.549238,0.000343,0.479038,0.552034,-0.000404,0.446501,0.505370,0.000036,0.468235,0.450388,-0.000347,0.526874,0.437206,0.000157,0.570073,0.477471,-0.000695,0.558585,0.532705,-0.000345,0.507628,0.551612,0.000650,0.463929,0.515460,0.000132,0.469082,0.457118,0.000748,0.522583,0.428828,0.000152,0.575332,0.455501,-0.000197,0.580913,0.512711,0.000272,0.536731,0.545818,0.000297,0.484461,0.524251,-0.000123,0.474319,0.466506,-0.000512,0.517033,0.426032,-0.000022,0.575181,0.436361,-0.000677,0.597873,0.489354,0.000433,0.565021,0.535391,-0.000740
693,0,0.030650,0.042673,0.170694,0.559739,0.500426,-0.000590,0.534221,0.548948,0.000530,0.479465,0.553052,-0.000535,0.446501,0.505325,0.000282,0.468361,0.450503,-0.000344,0.527417,0.437383,0.000054,0.569305,0.477729,-0.000050,0.559770,0.532208,0.000715,0.508045,0.551300,-0.000349,0.463143,0.515771,0.000746,0.470163,0.457841,-0.000579,0.521866,0.429226,0.000599,0.574719,0.455170,0.000553,0.581009,0.511866,0.000421,0.535841,0.546085,-0.000564,0.484319,0.524732,-0.000445,0.474462,0.466485,-0.000757,0.516775,0.425319,-0.000423,0.576410,0.436741,-0.000755,0.598012,0.490535,0.000240,0.564951,0.534197,-0.000341
726,0,0.036380,0.045786,0.183144,0.560528,0.500314,-0.000578,0.534747,0.549406,-0.000792,0.478358,0.552167,0.000536,0.446679,0.505831,0.000044,0.468159,0.450253,-0.000318,0.526296,0.437336,0.000470,0.569542,0.476612,0.000648,0.559389,0.531645,0.000025,0.506857,0.550791,-0.000113,0.463516,0.515312,-0.000133,0.469919,0.456696,0.000759,0.521574,0.429042,0.000012,0.575413,0.455892,-0.000175,0.580399,0.512427,0.000770,0.535810,0.544662,0.000462,0.484170,0.524390,0.000205,0.474975,0.467102,-0.000268,0.516761,0.425390,0.000502,0.575099,0.437387,-0.000057,0.597635,0.490203,0.000498,0.563786,0.535219,-0.000068
759,0,0.037047,0.061526,0.246104,0.559670,0.499270,-0.000481,0.533685,0.550182,0.000025,0.479814,0.552627,-0.000395,0.447006,0.504973,-0.000229,0.469231,0.451177,-0.000269,0.526419,0.437253,0.000623,0.570000,0.477866,-0.000181,0.559992,0.532413,-0.000004,0.507949,0.551392,0.000482,0.463696,0.515053,0.000164,0.470171,0.457431,-0.000286,0.521594,0.429258,-0.000310,0.574795,0.455687,0.000304,0.580209,0.511478,0.000592,0.535968,0.546233,-0.000361,0.485187,0.524734,-0.000680,0.474760,0.466507,0.000482,0.517777,0.426041,-0.000572,0.575791,0.437391,-0.000744,0.596630,0.490438,-0.000214,0.564297,0.534884,0.000168
792,0,0.031670,0.057185,0.228739,0.560286,0.500718,-0.000205,0.534839,0.549607,0.000047,0.478868,0.552797,-0.000401,0.445982,0.505844,-0.000002,0.468601,0.450691,-0.000381,0.526636,0.437379,0.000794,0.569267,0.477901,-0.000014,0.558630,0.532984,-0.000077,0.507908,0.551274,-0.000660,0.463623,0.516280,-0.000289,0.469412,0.456663,0.000067,0.522892,0.429563,0.000339,0.575315,0.456026,0.000470,0.580461,0.511604,-0.000478,0.535626,0.545901,-0.000758,0.484505,0.523808,0.000486,0.474623,0.466905,-0.000662,0.517185,0.426116,0.000350,0.575660,0.437371,0.000517,0.596640,0.490748,0.000228,0.564405,0.535065,-0.000249
825,0,0.034419,0.034995,0.139980,0.560605,0.500448,0.000224,0.533909,0.550234,-0.000108,0.479688,0.551847,-0.000601,0.446045,0.504931,-0.000284,0.469116,0.450345,0.000705,0.527652,0.438018,-0.000399,0.569826,0.477316,-0.000600,0.558919,0.532473,0.000004,0.506740,0.552068,-0.000553,0.463586,0.516080,0.000168,0.470204,0.457461,0.000520,0.521511,0.428273,0.000226,0.574754,0.456047,0.000427,0.580313,0.512432,-0.000003,0.536408,0.545100,0.000731,0.484391,0.524505,0.000296,0.474216,0.466043,-0.000704,0.517394,0.425291,-0.000474,0.575790,0.436641,0.000349,0.597697,0.490570,0.000761,0.563894,0.534570,0.000099
858,0,0.036331,0.047097,0.188388,0.559711,0.499946,-0.000372,0.534015,0.548843,-0.000336,0.478846,0.552742,-0.000403,0.447185,0.504923,-0.000276,0.468906,0.450292,0.000421,0.527017,0.437488,-0.000002,0.569304,0.476472,0.000712,0.559243,0.533166,-0.000456,0.507035,0.550642,-0.000008,0.463944,0.515974,-0.000047,0.469714,0.457914,-0.000111,0.522877,0.429365,0.000422,0.574417,0.455647,0.000112,0.579958,0.512295,-0.000682,0.536211,0.545859,-0.000352,0.485201,0.524306,-0.000610,0.475301,0.466556,0.000472,0.517233,0.426018,0.000408,0.575137,0.436955,0.000000,0.596595,0.489412,-0.000267,0.564443,0.534708,0.000170
891,0,0.032773,0.034897,0.139588,0.560025,0.499725,0.000181,0.533878,0.550273,0.000383,0.478710,0.552296,0.000525,0.446652,0.505801,-0.000320,0.469287,0.450381,0.000278,0.527788,0.437598,0.000475,0.569971,0.477536,-0.000757,0.559193,0.533167,0.000453,0.507712,0.551486,0.000354,0.463466,0.515200,0.000206,0.469847,0.457905,-0.000564,0.522555,0.428251,0.000717,0.574007,0.455036,-0.000298,0.579889,0.512515,-0.000143,0.536644,0.546109,0.000597,0.484796,0.523317,-0.000579,0.474072,0.466446,0.000260,0.517531,0.425018,-0.000523,0.576278,0.436688,-0.000233,0.597757,0.490346,0.000229,0.564794,0.534953,-0.000492
924,0,0.201635,0.220291,0.881165,0.564479,0.500349,-0.001651,0.540497,0.553323,-0.001266,0.474778,0.559244,-0.001098,0.439753,0.508916,0.001772,0.463500,0.443782,0.001060,0.528000,0.434592,0.001910,0.578099,0.477386,-0.001257,0.562483,0.537646,-0.000922,0.506051,0.555836,-0.000126,0.456078,0.518431,0.002598,0.465798,0.451918,0.000694,0.522813,0.421455,0.001019,0.579881,0.453414,-0.002685,0.585371,0.516035,-0.002397,0.538649,0.548411,0.000302,0.482435,0.527360,0.002610,0.471065,0.464863,-0.001803,0.518623,0.418475,0.000875,0.582029,0.429972,0.000445,0.603465,0.492231,0.002620,0.569413,0.538305,0.002293
957,0,0.214539,0.315011,1.260042,0.570055,0.502518,0.002983,0.540284,0.559558,0.002620,0.476810,0.566026,0.002260,0.431776,0.507568,-0.002356,0.463836,0.440218,0.002935,0.530683,0.425921,0.002631,0.583239,0.473690,-0.001843,0.565957,0.538278,-0.000247,0.504068,0.561351,0.001420,0.454143,0.521079,0.001544,0.457640,0.452967,0.002382,0.524281,0.417092,-0.002480,0.585773,0.447475,-0.002156,0.590278,0.515740,-0.001435,0.536258,0.558846,0.002724,0.474114,0.533158,-0.002931,0.463971,0.464428,-0.002627,0.511898,0.412620,-0.000568,0.583558,0.430300,0.001221,0.608053,0.489496,0.002497,0.568152,0.546420,-0.001685
990,0,0.221995,0.271529,1.086116,0.575801,0.497919,0.001486,0.544778,0.564130,0.000295,0.471366,0.569150,0.000985,0.427091,0.506492,0.001528,0.459255,0.434461,-0.000320,0.533348,0.417673,0.000385,0.584264,0.472491,0.000033,0.573241,0.542144,-0.001031,0.504773,0.566867,-0.001768,0.447431,0.520691,0.000062,0.456405,0.447287,0.000079,0.522086,0.408347,-0.000226,0.591662,0.447487,-0.000624,0.598680,0.521248,0.000470,0.535937,0.562335,-0.002617,0.473709,0.538330,-0.002586,0.459905,0.458734,-0.000547,0.514151,0.409606,0.002870,0.588380,0.422945,0.002957,0.614414,0.494908,0.002441,0.571084,0.552306,0.000971
1023,0,0.214633,0.311476,1.245902,0.584236,0.500921,-0.000913,0.545456,0.569907,0.000173,0.470411,0.572717,-0.002979,0.419977,0.507644,0.001041,0.453361,0.432620,0.001940,0.532313,0.413527,-0.001346,0.595279,0.471879,-0.002323,0.579185,0.547702,0.001596,0.506081,0.572200,-0.001764,0.439070,0.522819,0.000587,0.450738,0.441594,0.001443,0.521785,0.403407,-0.001696,0.597066,0.440267,0.000023,0.600961,0.524189,0.001389,0.538399,0.569799,0.001035,0.465110,0.538435,-0.002140,0.452518,0.458142,-0.001197,0.508252,0.404934,0.002278,0.593936,0.419673,-0.000437,0.621025,0.496423,0.002650,0.575307,0.558402,-0.001088
1056,0,0.213981,0.250810,1.003242,0.589498,0.497895,-0.000741,0.552154,0.574574,0.002096,0.465351,0.581082,0.001835,0.419389,0.510075,0.002807,0.449516,0.425692,-0.001543,0.533750,0.409577,0.002533,0.600498,0.466407,0.001348,0.579994,0.550740,0.001042,0.503523,0.583284,-0.001871,0.437568,0.529436,0.000353,0.444360,0.443255,-0.001002,0.525140,0.396093,0.002623,0.602719,0.437412,0.002997,0.607544,0.523271,0.000626,0.538533,0.577645,0.000312,0.463281,0.542810,0.000202,0.444966,0.456658,0.000077,0.509219,0.394066,0.002888,0.595245,0.416450,0.002486,0.626208,0.493973,0.000375,0.575055,0.560041,-0.001435
1089,0,0.102418,0.114679,0.458718,0.590696,0.500127,-0.000132,0.550071,0.574460,-0.000192,0.467080,0.579836,0.000247,0.417196,0.509313,0.000515,0.449918,0.428114,-0.000015,0.534999,0.409169,-0.000529,0.598768,0.468834,0.000667,0.581919,0.552356,-0.000706,0.502159,0.581597,0.000712,0.436267,0.528514,-0.000140,0.445032,0.440608,0.000331,0.521613,0.399010,-0.000203,0.600135,0.439975,0.000186,0.607643,0.524796,-0.000789,0.540389,0.574374,0.000047,0.461268,0.544290,-0.000773,0.446312,0.458367,0.000490,0.509891,0.395845,-0.000646,0.594867,0.413918,0.000042,0.627488,0.494117,-0.000165,0.576524,0.562015,0.000104
1122,0,0.043099,0.046935,0.187740,0.590784,0.499561,0.000294,0.551184,0.574978,0.000573,0.466962,0.579186,-0.000193,0.416985,0.508991,-0.000785,0.448646,0.427888,-0.000106,0.535985,0.408802,0.000573,0.597768,0.468898,-0.000732,0.581389,0.552718,0.000620,0.502866,0.580317,-0.000681,0.436679,0.528730,0.000102,0.443736,0.441724,-0.000297,0.523137,0.399140,0.000404,0.600287,0.439546,-0.000677,0.607130,0.524400,0.000535,0.540129,0.575789,-0.000269,0.462037,0.542950,0.000782,0.446169,0.458090,0.000759,0.508521,0.396374,0.000542,0.595173,0.414842,0.000728,0.626818,0.494927,-0.000753,0.576365,0.562953,-0.000015
1155,0,0.034797,0.057629,0.230515,0.589769,0.500706,-0.000109,0.550915,0.574989,-0.000663,0.466737,0.580314,0.000341,0.416232,0.509148,0.000339,0.449386,0.428271,-0.000293,0.534900,0.407905,-0.000307,0.598191,0.468484,-0.000588,0.581351,0.552047,0.000088,0.502758,0.580284,-0.000234,0.435347,0.528248,-0.000281,0.444300,0.440705,-0.000180,0.521734,0.399643,0.000648,0.600712,0.439824,-0.000529,0.607479,0.524237,-0.000318,0.540295,0.574456,-0.000105,0.461502,0.543501,-0.000677,0.445413,0.457683,0.000200,0.509385,0.395987,-0.000629,0.595116,0.415129,-0.000268,0.627176,0.494975,-0.000273,0.576463,0.562670,0.000575
1188,0,0.036597,0.052664,0.210657,0.590759,0.499418,-0.000287,0.551343,0.574254,-0.000297,0.467290,0.580587,-0.000334,0.417213,0.509686,0.000121,0.448760,0.427689,0.000506,0.535358,0.408079,0.000102,0.598563,0.468926,0.000291,0.581931,0.552854,-0.000061,0.503238,0.580944,-0.000334,0.436307,0.528601,0.000473,0.444338,0.441037,0.000213,0.521986,0.399255,0.000344,0.600409,0.439027,0.000785,0.607637,0.524656,0.000011,0.540979,0.575461,0.000070,0.462093,0.543301,0.000633,0.445870,0.458310,-0.000664,0.509666,0.396726,-0.000232,0.595664,0.413682,0.000774,0.627267,0.494328,0.000404,0.577473,0.562054,-0.000783
1221,0,0.030544,0.046168,0.184673,0.589614,0.500017,0.000030,0.550756,0.574853,-0.000087,0.466373,0.580273,0.000142,0.416901,0.509453,-0.000761,0.448539,0.427753,0.000739,0.534915,0.409402,-0.000573,0.598114,0.468781,-0.000469,0.581824,0.552091,-0.000099,0.503220,0.580752,-0.000320,0.436495,0.527475,0.000559,0.444720,0.441322,-0.000537,0.523173,0.398591,-0.000521,0.599403,0.439804,0.000734,0.607241,0.524663,-0.000505,0.540531,0.575046,-0.000753,0.461811,0.543042,0.000148,0.445633,0.458416,-0.000471,0.509639,0.396968,-0.000700,0.594791,0.415006,-0.000501,0.626705,0.494421,-0.000380,0.577308,0.562209,0.000223
1254,0,0.028339,0.032714,0.130857,0.590155,0.500178,0.000139,0.550384,0.575285,0.000188,0.467049,0.580166,-0.000324,0.417084,0.509036,-0.000586,0.448561,0.427576,-0.000507,0.535839,0.408714,-0.000131,0.597836,0.468667,-0.000503,0.582068,0.552438,0.000232,0.503705,0.581130,-0.000017,0.435423,0.527794,-0.000078,0.443769,0.440813,-0.000785,0.521817,0.399505,0.000742,0.599956,0.439700,0.000296,0.607535,0.525359,-0.000018,0.539639,0.574404,0.000418,0.461295,0.543166,0.000060,0.445280,0.458020,0.000388,0.509661,0.396554,-0.000619,0.594811,0.414851,0.000517,0.626770,0.495005,-0.000733,0.577078,0.562239,0.000784
